cluster	feature	p_c	p_rest	delta_p	delta_p_ci_lo	delta_p_ci_hi	cohens_h	log_OR	fisher_p	support	fisher_p_bh	bh_reject	is_defining_descriptive
0	Bla_ESBL	0.5163398692810458	0.020618556701030927	0.4957213125800149	0.4659611324483975	0.5264180872807313	1.3153024668081197	3.8860960880898983	2.7625244853299507e-110	474	1.0497593044253812e-109	True	True
0	Bla_Carb	0.27342047930283225	0.070446735395189	0.20297374390764325	0.1684660175639557	0.23838549738337492	0.5632154010667665	1.592553238469782	2.1655275371545984e-24	251	3.4287519338281144e-24	True	True
0	ybt	0.36056644880174293	0.18041237113402062	0.18015407766772232	0.13731049120679195	0.2160012802371808	0.41081117532378164	0.9376047706122669	2.410387514064178e-14	331	3.0531575178146253e-14	True	False
0	clb	0.010893246187363835	0.08934707903780069	-0.07845383285043686	-0.10252762617074322	-0.056078319071041924	-0.39797779582155035	-2.1474128422162884	1.4694951369200017e-13	10	1.745025475092502e-13	True	False
0	iuc	0.042483660130718956	0.1872852233676976	-0.14480156323697863	-0.1756856007007614	-0.10962536217236035	-0.47990700527244345	-1.6388255289009592	2.250819998359622e-19	39	3.289659997602524e-19	True	False
0	iro	0.0	0.20962199312714777	-0.20962199312714777	-0.23883161512027493	-0.17349656357388316	-0.9511392682099925	-6.191687259504546	1.2524342117485853e-54	0	2.379625002322312e-54	True	False
0	rmp	0.0	0.22164948453608246	-0.22164948453608246	-0.25601374570446733	-0.1872852233676976	-0.9803870862532292	-6.262574696799527	5.6107838548709485e-58	0	1.1844988138060892e-57	True	False
1	AGly	0.03436426116838488	0.7712418300653595	-0.7368775688969746	-0.7650798463715383	-0.7066142780136109	-1.7712781685546877	-4.525630653942512	1.589022611745921e-200	20	3.0191429623172496e-199	True	True
1	Col	0.0	0.029411764705882353	-0.029411764705882353	-0.03924291938997821	-0.018518518518518517	-0.344701179798646	-3.5817569333691313	2.2747445139866473e-06	0	2.542361515632135e-06	True	False
1	Fcyn	0.003436426116838488	0.011982570806100218	-0.00854614468926173	-0.017440704804258474	-0.00028777261190845126	-0.10206012807321067	-1.0792525384939897	0.09325571122359508	2	0.09325571122359508	False	False
1	Flq	0.018900343642611683	0.4128540305010893	-0.39395368685847765	-0.4292736338521663	-0.36353008557374833	-1.1197790492080908	-3.5541292600031564	7.83718138309571e-81	11	1.861330578485231e-80	True	True
1	MLS	0.010309278350515464	0.24836601307189543	-0.23805673472137998	-0.2659187386294724	-0.20675297037486243	-0.8400001135239463	-3.379293400292435	2.950507362334861e-45	6	5.0963308985783965e-45	True	True
1	Phe	0.022336769759450172	0.46296296296296297	-0.4406261932035128	-0.47144032297913435	-0.4103657098578263	-1.1966204108596503	-3.593811186582746	1.0811217234743415e-92	13	2.9344732494303557e-92	True	True
1	Rif	0.00859106529209622	0.10348583877995643	-0.09489477348786021	-0.11684971812321722	-0.0753916515059632	-0.4693897236985617	-2.499523048026513	8.852913463211969e-16	5	1.2014668271501958e-15	True	False
1	Sul	0.030927835051546393	0.7080610021786492	-0.6771331671271028	-0.7065449318329852	-0.6436162208296836	-1.646407732806058	-4.303060035509078	1.367326220190256e-173	18	1.2989599091807433e-172	True	True
1	Tet	0.018900343642611683	0.49019607843137253	-0.47129573478876086	-0.5005954787413248	-0.4404086090335332	-1.2753566047345348	-3.8667394232355767	1.829201682234468e-103	11	5.792471993742482e-103	True	True
1	Tmt	0.027491408934707903	0.644880174291939	-0.6173887653572311	-0.6479681849830424	-0.5804407272645599	-1.5316235749710887	-4.132037623854327	5.090828654750164e-150	16	3.2241914813417705e-149	True	True
1	Bla	0.0429553264604811	0.6328976034858388	-0.5899422770253577	-0.6218373088066842	-0.5565657076117961	-1.4222852306723082	-3.628829512816028	5.48930689928773e-134	25	2.607420777161672e-133	True	True
1	Bla_inhR	0.003436426116838488	0.0196078431372549	-0.016171417020416412	-0.025826819845922333	-0.006827931630842486	-0.16367007414791274	-1.5624196367320595	0.009120427668265374	2	0.009627118094280117	True	False
1	Bla_ESBL	0.020618556701030927	0.5163398692810458	-0.4957213125800149	-0.5302374615367339	-0.46283858904386493	-1.3153024668081197	-3.8860960880898983	2.7625244853299507e-110	12	1.0497593044253812e-109	True	True
1	Bla_Carb	0.070446735395189	0.27342047930283225	-0.20297374390764325	-0.24162118455629675	-0.16901320665723332	-0.5632154010667665	-1.592553238469782	2.1655275371545984e-24	41	3.4287519338281144e-24	True	True
1	ybt	0.18041237113402062	0.36056644880174293	-0.18015407766772232	-0.2209739909709588	-0.13956887451429598	-0.41081117532378164	-0.9376047706122669	2.410387514064178e-14	105	3.0531575178146253e-14	True	False
1	clb	0.08934707903780069	0.010893246187363835	0.07845383285043686	0.0575118478089976	0.10362537340251106	0.39797779582155035	2.1474128422162884	1.4694951369200017e-13	52	1.745025475092502e-13	True	False
1	iuc	0.1872852233676976	0.042483660130718956	0.14480156323697863	0.1108946499562024	0.17620471441726748	0.47990700527244345	1.6388255289009592	2.250819998359622e-19	109	3.289659997602524e-19	True	False
1	iro	0.20962199312714777	0.0	0.20962199312714777	0.17353951890034364	0.24059278350515464	0.9511392682099925	6.191687259504546	1.2524342117485853e-54	122	2.379625002322312e-54	True	True
1	rmp	0.22164948453608246	0.0	0.22164948453608246	0.18900343642611683	0.25257731958762886	0.9803870862532292	6.262574696799527	5.6107838548709485e-58	129	1.1844988138060892e-57	True	True
