Strain_ID,genome_id,antibiotic,resistant_phenotype,measurement,measurement_unit,laboratory_typing_method
GCF_003571645.1,573.20063,ampicillin/sulbactam,Resistant,>32/16,mg/L,Broth dilution
GCF_003571645.1,573.20063,ertapenem,Resistant,>8,mg/L,Broth dilution
GCF_003571645.1,573.20063,amikacin,Resistant,>64,mg/L,Broth dilution
GCF_003571645.1,573.20063,cefoxitin,Resistant,>16,mg/L,Broth dilution
GCF_003571645.1,573.20063,gentamicin,Intermediate,==8,mg/L,Broth dilution
GCF_003571645.1,573.20063,cefotaxime,Resistant,>64,mg/L,Broth dilution
GCF_003571645.1,573.20063,cefazolin,Resistant,>8,mg/L,Broth dilution
GCF_003571645.1,573.20063,levofloxacin,Resistant,>8,mg/L,Broth dilution
GCF_003571645.1,573.20063,ampicillin,Resistant,>32,mg/L,Broth dilution
GCF_003571645.1,573.20063,doripenem,Resistant,>8,mg/L,Broth dilution
GCF_003571645.1,573.20063,piperacillin/tazobactam,Resistant,>128/4,mg/L,Broth dilution
GCF_003571645.1,573.20063,tigecycline,Susceptible,==2,mg/L,Broth dilution
GCF_003571645.1,573.20063,tetracycline,Resistant,==16,mg/L,Broth dilution
GCF_003571645.1,573.20063,amoxicillin/clavulanic acid,Resistant,>32/16,mg/L,Broth dilution
GCF_003571645.1,573.20063,aztreonam,Resistant,>64,mg/L,Broth dilution
GCF_003571645.1,573.20063,ceftriaxone,Resistant,>32,mg/L,Broth dilution
GCF_003571645.1,573.20063,imipenem,Resistant,==64,mg/L,Broth dilution
GCF_900504335.1,573.20813,colistin,Resistant,,,Broth dilution
GCF_900502405.1,573.20619,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900501405.1,573.20520,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900501425.1,573.20522,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503375.1,573.20716,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503525.1,573.20731,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900501705.1,573.20549,meropenem,,0.12,mg/L,Broth dilution
GCF_900501905.1,573.20567,meropenem,,8,mg/L,Broth dilution
GCF_900504265.1,573.20805,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900502375.1,573.20616,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503985.1,573.20775,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503365.1,573.20715,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900502245.1,573.20604,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503965.1,573.20774,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900504245.1,573.20803,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503205.1,573.20699,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503715.1,573.20750,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503145.1,573.20694,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503125.1,573.20692,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900501505.1,573.20530,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503585.1,573.20737,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900502275.1,573.20606,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900504475.1,573.20826,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900504485.1,573.20827,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900505015.1,573.20880,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900504925.1,573.20871,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503225.1,573.20701,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503385.1,573.20717,colistin,Susceptible,,,Broth dilution
GCF_900501135.1,573.20493,colistin,Susceptible,,,Broth dilution
GCF_900503005.1,573.20679,colistin,Susceptible,,,Broth dilution
GCF_900501025.1,573.20482,colistin,Susceptible,,,Broth dilution
GCF_900501055.1,573.20485,colistin,Susceptible,,,Broth dilution
GCF_900500865.1,573.20466,colistin,Susceptible,,,Broth dilution
GCF_900503065.1,573.20685,colistin,Susceptible,,,Broth dilution
GCF_900503465.1,573.20725,colistin,Susceptible,,,Broth dilution
GCF_900504425.1,573.20821,colistin,Susceptible,,,Broth dilution
GCF_900503105.1,573.20688,colistin,Susceptible,,,Broth dilution
GCF_900504715.1,573.20850,colistin,Susceptible,,,Broth dilution
GCF_900500755.1,573.20455,colistin,Resistant,,,Broth dilution
GCF_900504745.1,573.20853,colistin,Resistant,,,Broth dilution
GCF_900504675.1,573.20845,colistin,Susceptible,,,Broth dilution
GCF_900501385.1,573.20518,colistin,Susceptible,,,Broth dilution
GCF_900501015.1,573.20481,colistin,Susceptible,,,Broth dilution
GCF_900503925.1,573.20771,meropenem,,>32,mg/L,Broth dilution
GCF_900501055.1,573.20485,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503105.1,573.20688,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900501135.1,573.20493,meropenem,,2,mg/L,Broth dilution
GCF_900501385.1,573.20518,meropenem,,>32,mg/L,Broth dilution
GCF_900503465.1,573.20725,meropenem,,2,mg/L,Broth dilution
GCF_900503005.1,573.20679,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900500755.1,573.20455,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900500865.1,573.20466,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900501025.1,573.20482,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900501015.1,573.20481,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503385.1,573.20717,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900503065.1,573.20685,meropenem,,8,mg/L,Broth dilution
GCF_900504675.1,573.20845,meropenem,,0.12,mg/L,Broth dilution
GCF_900504715.1,573.20850,meropenem,,4,mg/L,Broth dilution
GCF_900504745.1,573.20853,meropenem,,2,mg/L,Broth dilution
GCF_900504425.1,573.20821,meropenem,,1,mg/L,Broth dilution
GCF_900503925.1,573.20771,colistin,Susceptible,,,Broth dilution
GCF_900505755.1,573.20953,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508545.1,573.21233,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507715.1,573.21150,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900505495.1,573.20928,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508005.1,573.21179,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506555.1,573.21034,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508665.1,573.21245,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506335.1,573.21012,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507555.1,573.21134,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508465.1,573.21225,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507065.1,573.21085,meropenem,,2,mg/L,Broth dilution
GCF_900507845.1,573.21163,meropenem,,2,mg/L,Broth dilution
