Strain_ID,genome_id,antibiotic,resistant_phenotype,measurement,measurement_unit,laboratory_typing_method
GCF_003664865.1,573.22564,piperacillin/tazobactam,,32,mg/L,Broth dilution
GCF_003664865.1,573.22564,ciprofloxacin,,16,mg/L,Broth dilution
GCF_003664865.1,573.22564,florfenicol,,>32,mg/L,Broth dilution
GCF_003664865.1,573.22564,amoxicillin/clavulanic acid,,16,mg/L,Broth dilution
GCF_003664865.1,573.22564,amikacin,,4,mg/L,Broth dilution
GCF_003664865.1,573.22564,meropenem,,0.015,mg/L,Broth dilution
GCF_003664865.1,573.22564,tetracycline,,128,mg/L,Broth dilution
GCF_003664865.1,573.22564,ceftazidime,,2,mg/L,Broth dilution
GCF_003664865.1,573.22564,ertapenem,,0.015,mg/L,Broth dilution
GCF_003664865.1,573.22564,colistin,Susceptible,,,
GCF_003664865.1,573.22564,colistin,Susceptible,,,
GCF_003664865.1,573.22564,cefotaxime,Intermediate,,,
GCF_003664865.1,573.22564,meropenem,Susceptible,,,
GCF_003664865.1,573.22564,piperacillin/tazobactam,Resistant,,,
GCF_003664865.1,573.22564,cefotaxime,Intermediate,,,
GCF_003937475.1,573.23219,amikacin,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,amikacin,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,aztreonam,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,levofloxacin,Resistant,,,Disk diffusion
GCF_003965135.1,573.23233,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,doxycycline,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,aztreonam,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,amikacin,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,levofloxacin,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,minocycline,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,piperacillin/tazobactam,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,doxycycline,Intermediate,,,Disk diffusion
GCF_003937005.1,573.23204,aztreonam,Resistant,,,Disk diffusion
GCF_003965135.1,573.23233,cefepime,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,cefepime,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,cefepime,Intermediate,,,Disk diffusion
GCF_003937075.1,573.23208,ceftazidime,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,levofloxacin,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,doxycycline,Resistant,,,Disk diffusion
GCF_003937465.1,573.23218,tigecycline,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,gentamicin,Resistant,,,Disk diffusion
GCF_003937465.1,573.23218,amikacin,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,ceftriaxone,Resistant,,,Disk diffusion
GCF_003937465.1,573.23218,nitrofurantoin,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,ampicillin,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,gentamicin,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,tigecycline,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,cefepime,Intermediate,,,Disk diffusion
GCF_003937145.1,573.23212,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937475.1,573.23219,minocycline,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003937475.1,573.23219,cefazolin,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,ampicillin/sulbactam,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,ciprofloxacin,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,amikacin,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,levofloxacin,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,ceftazidime/avibactam,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,tigecycline,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,imipenem,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,aztreonam,Intermediate,,,Disk diffusion
GCF_003936375.1,573.23197,ceftazidime,Intermediate,,,Disk diffusion
GCF_003965135.1,573.23233,tigecycline,Intermediate,,,Disk diffusion
GCF_003936515.1,573.23203,gentamicin,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,imipenem,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,minocycline,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,minocycline,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,doxycycline,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,ceftazidime/avibactam,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,cefazolin,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,meropenem,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,ampicillin/sulbactam,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,ampicillin/sulbactam,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,ampicillin,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,cefepime,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,ceftazidime,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,ciprofloxacin,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937475.1,573.23219,ampicillin/sulbactam,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,ceftriaxone,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,tigecycline,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,ceftriaxone,Resistant,,,Disk diffusion
GCF_003965135.1,573.23233,ciprofloxacin,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,ceftazidime,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,gentamicin,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,doxycycline,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,imipenem,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,minocycline,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,ampicillin,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,ampicillin/sulbactam,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,ceftazidime,Intermediate,,,Disk diffusion
GCF_003937145.1,573.23212,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,amikacin,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,amikacin,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,doxycycline,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,ceftazidime,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,cefepime,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,cefotetan,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,ceftriaxone,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,ampicillin/sulbactam,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,ceftriaxone,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,cefazolin,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,doxycycline,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,cefazolin,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,meropenem,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,ceftriaxone,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,ceftazidime,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,ciprofloxacin,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,ampicillin,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,amikacin,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,aztreonam,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,ciprofloxacin,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,cefepime,Intermediate,,,Disk diffusion
GCF_003937475.1,573.23219,meropenem,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,meropenem,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,cefepime,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,meropenem,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,minocycline,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,cefotetan,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,ciprofloxacin,Resistant,,,Disk diffusion
GCF_003965135.1,573.23233,ampicillin/sulbactam,Resistant,,,Disk diffusion
GCF_003965135.1,573.23233,cefotetan,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,ampicillin,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,minocycline,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,fosfomycin,Intermediate,,,Disk diffusion
GCF_003936425.1,573.23198,tigecycline,Intermediate,,,Disk diffusion
GCF_003936375.1,573.23197,cefepime,Intermediate,,,Disk diffusion
GCF_003936375.1,573.23197,imipenem,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,ampicillin/sulbactam,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,imipenem,Susceptible,,,Disk diffusion
GCF_003937475.1,573.23219,aztreonam,Intermediate,,,Disk diffusion
GCF_003937005.1,573.23204,cefotetan,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,ampicillin,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,cefotetan,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,ceftazidime,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,cefazolin,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,ciprofloxacin,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,levofloxacin,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,cefazolin,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,aztreonam,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,levofloxacin,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,nitrofurantoin,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,ciprofloxacin,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,ampicillin,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,tigecycline,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,amikacin,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,cefotetan,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,gentamicin,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,levofloxacin,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,aztreonam,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,aztreonam,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,minocycline,Susceptible,,,Disk diffusion
GCF_003937475.1,573.23219,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,ampicillin,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,minocycline,Resistant,,,Disk diffusion
GCF_003965135.1,573.23233,cefazolin,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,meropenem,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,meropenem,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,doxycycline,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,ciprofloxacin,Intermediate,,,Disk diffusion
GCF_003936425.1,573.23198,cefazolin,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,ceftazidime,Susceptible,,,Disk diffusion
GCF_003937475.1,573.23219,levofloxacin,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,ampicillin,Resistant,,,Disk diffusion
GCF_003937465.1,573.23218,cefazolin,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,ampicillin,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,meropenem,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,cefotetan,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,imipenem,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,fosfomycin,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,doxycycline,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,amikacin,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,piperacillin/tazobactam,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,nitrofurantoin,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,ceftriaxone,Resistant,,,Disk diffusion
GCF_003965135.1,573.23233,gentamicin,Susceptible,,,Disk diffusion
GCF_003936375.1,573.23197,meropenem,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,ceftazidime,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,ceftriaxone,Resistant,,,Disk diffusion
GCF_003936515.1,573.23203,cefotetan,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,cefazolin,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,ceftriaxone,Resistant,,,Disk diffusion
GCF_003937235.1,573.23215,gentamicin,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,ampicillin/sulbactam,Susceptible,,,Disk diffusion
GCF_003965135.1,573.23233,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,cefotetan,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,tigecycline,Intermediate,,,Disk diffusion
GCF_003937235.1,573.23215,imipenem,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,ceftazidime/avibactam,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,cefepime,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,doxycycline,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,levofloxacin,Intermediate,,,Disk diffusion
GCF_003937075.1,573.23208,imipenem,Susceptible,,,Disk diffusion
GCF_003937235.1,573.23215,levofloxacin,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,imipenem,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,fosfomycin,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,aztreonam,Resistant,,,Disk diffusion
GCF_003937005.1,573.23204,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003937465.1,573.23218,ampicillin/sulbactam,Resistant,,,Disk diffusion
GCF_003936375.1,573.23197,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003936425.1,573.23198,piperacillin/tazobactam,Susceptible,,,Disk diffusion
GCF_003937005.1,573.23204,gentamicin,Resistant,,,Disk diffusion
GCF_003937465.1,573.23218,cefotetan,Resistant,,,Disk diffusion
GCF_003936425.1,573.23198,gentamicin,Susceptible,,,Disk diffusion
GCF_003937075.1,573.23208,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003937475.1,573.23219,tigecycline,Susceptible,,,Disk diffusion
GCF_003937145.1,573.23212,imipenem,Susceptible,,,Disk diffusion
GCF_003936515.1,573.23203,tigecycline,Intermediate,,,Disk diffusion
GCF_003937005.1,573.23204,ceftriaxone,Resistant,,,Disk diffusion
GCF_003937075.1,573.23208,meropenem,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,ciprofloxacin,Resistant,,,Disk diffusion
GCF_003937465.1,573.23218,trimethoprim/sulfamethoxazole,Resistant,,,Disk diffusion
GCF_003937145.1,573.23212,minocycline,Susceptible,,,Disk diffusion
GCF_003937465.1,573.23218,gentamicin,Resistant,,,Disk diffusion
GCF_900774715.1,573.26136,ceftazidime,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,nitrofurantoin,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,tigecycline,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,aztreonam,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,ampicillin/sulbactam,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,cefazolin,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,ertapenem,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,amikacin,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,ciprofloxacin,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,trimethoprim/sulfobactam,Resistant,,,Broth dilution
GCF_900774715.1,573.26136,cefepime,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,meropenem,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,gentamicin,Susceptible,,,Broth dilution
GCF_900774715.1,573.26136,ampicillin,Resistant,,,Broth dilution
GCF_900774655.1,573.26130,cefepime,Susceptible,,,Broth dilution
GCF_900774445.1,573.26109,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774955.1,573.26160,trimethoprim/sulfobactam,Susceptible,,,Broth dilution
GCF_900774535.1,573.26118,trimethoprim/sulfobactam,Susceptible,,,Broth dilution
GCF_900774695.1,573.26134,piperacillin/tazobactam,Susceptible,,,Broth dilution
GCF_900775495.1,573.26215,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774625.1,573.26127,tigecycline,Susceptible,,,Broth dilution
GCF_900775375.1,573.26203,cefazolin,Susceptible,,,Broth dilution
GCF_900774855.1,573.26150,nitrofurantoin,Intermediate,,,Broth dilution
GCF_900775295.1,573.26195,cefepime,Susceptible,,,Broth dilution
GCF_900774115.1,573.26077,ciprofloxacin,Susceptible,,,Broth dilution
GCF_900774095.1,573.26075,cefepime,Susceptible,,,Broth dilution
GCF_900775495.1,573.26215,trimethoprim/sulfobactam,Susceptible,,,Broth dilution
GCF_900774375.1,573.26102,trimethoprim/sulfobactam,Resistant,,,Broth dilution
GCF_900775495.1,573.26215,amikacin,Susceptible,,,Broth dilution
GCF_900775105.1,573.26175,amikacin,Susceptible,,,Broth dilution
GCF_900775495.1,573.26215,gentamicin,Susceptible,,,Broth dilution
GCF_900775285.1,573.26194,amikacin,Susceptible,,,Broth dilution
GCF_900774375.1,573.26102,ceftriaxone,Resistant,,,Broth dilution
GCF_900774415.1,573.26106,ceftazidime,Susceptible,,,Broth dilution
GCF_900774145.1,573.26080,meropenem,Susceptible,,,Broth dilution
GCF_900774965.1,573.26161,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774505.1,573.26115,nitrofurantoin,Intermediate,,,Broth dilution
GCF_900774445.1,573.26109,ertapenem,Susceptible,,,Broth dilution
GCF_900775295.1,573.26195,meropenem,Susceptible,,,Broth dilution
GCF_900774205.1,573.26085,ertapenem,Susceptible,,,Broth dilution
GCF_900775285.1,573.26194,ertapenem,Susceptible,,,Broth dilution
GCF_900775425.1,573.26208,piperacillin/tazobactam,Intermediate,,,Broth dilution
GCF_900775085.1,573.26173,cefepime,Susceptible,,,Broth dilution
GCF_900774855.1,573.26150,tigecycline,Susceptible,,,Broth dilution
GCF_900775425.1,573.26208,ampicillin/sulbactam,Resistant,,,Broth dilution
GCF_900775105.1,573.26175,ciprofloxacin,Susceptible,,,Broth dilution
GCF_900775555.1,573.26221,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774475.1,573.26112,amikacin,Susceptible,,,Broth dilution
GCF_900775085.1,573.26173,aztreonam,Susceptible,,,Broth dilution
GCF_900774145.1,573.26080,tigecycline,Susceptible,,,Broth dilution
GCF_900774145.1,573.26080,nitrofurantoin,Susceptible,,,Broth dilution
GCF_900775085.1,573.26173,piperacillin/tazobactam,Susceptible,,,Broth dilution
GCF_900774895.1,573.26154,meropenem,Susceptible,,,Broth dilution
GCF_900774505.1,573.26115,ertapenem,Susceptible,,,Broth dilution
GCF_900775385.1,573.26204,ampicillin/sulbactam,Susceptible,,,Broth dilution
GCF_900774695.1,573.26134,cefepime,Susceptible,,,Broth dilution
GCF_900774535.1,573.26118,aztreonam,Susceptible,,,Broth dilution
GCF_900774205.1,573.26085,ampicillin/sulbactam,Resistant,,,Broth dilution
GCF_900774205.1,573.26085,gentamicin,Resistant,,,Broth dilution
GCF_900775315.1,573.26197,cefepime,Susceptible,,,Broth dilution
GCF_900774145.1,573.26080,piperacillin/tazobactam,Susceptible,,,Broth dilution
GCF_900774475.1,573.26112,cefepime,Susceptible,,,Broth dilution
GCF_900774655.1,573.26130,ampicillin,Resistant,,,Broth dilution
GCF_900774505.1,573.26115,ceftazidime,Susceptible,,,Broth dilution
GCF_900775505.1,573.26216,cefepime,Intermediate,,,Broth dilution
GCF_900774415.1,573.26106,ampicillin,Resistant,,,Broth dilution
GCF_900774375.1,573.26102,aztreonam,Intermediate,,,Broth dilution
GCF_900775285.1,573.26194,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774985.1,573.26163,gentamicin,Susceptible,,,Broth dilution
GCF_900774995.1,573.26164,nitrofurantoin,Susceptible,,,Broth dilution
GCF_900775085.1,573.26173,tigecycline,Susceptible,,,Broth dilution
GCF_900774625.1,573.26127,ampicillin,Resistant,,,Broth dilution
GCF_900774415.1,573.26106,tigecycline,Susceptible,,,Broth dilution
GCF_900774735.1,573.26138,piperacillin/tazobactam,Intermediate,,,Broth dilution
GCF_900775375.1,573.26203,nitrofurantoin,Intermediate,,,Broth dilution
GCF_900774695.1,573.26134,meropenem,Susceptible,,,Broth dilution
GCF_900775505.1,573.26216,ceftriaxone,Resistant,,,Broth dilution
GCF_900775085.1,573.26173,ciprofloxacin,Susceptible,,,Broth dilution
GCF_900775515.1,573.26217,amikacin,Susceptible,,,Broth dilution
GCF_900774965.1,573.26161,ertapenem,Susceptible,,,Broth dilution
GCF_900774565.1,573.26121,piperacillin/tazobactam,Susceptible,,,Broth dilution
GCF_900774445.1,573.26109,ceftazidime,Susceptible,,,Broth dilution
GCF_900775515.1,573.26217,nitrofurantoin,Susceptible,,,Broth dilution
GCF_900774695.1,573.26134,tigecycline,Susceptible,,,Broth dilution
GCF_900775505.1,573.26216,ampicillin,Resistant,,,Broth dilution
GCF_900774835.1,573.26148,ampicillin/sulbactam,Susceptible,,,Broth dilution
GCF_900774145.1,573.26080,ertapenem,Susceptible,,,Broth dilution
GCF_900774855.1,573.26150,ceftazidime,Intermediate,,,Broth dilution
GCF_900775295.1,573.26195,tigecycline,Susceptible,,,Broth dilution
GCF_900774205.1,573.26085,ciprofloxacin,Resistant,,,Broth dilution
GCF_900774995.1,573.26164,ceftazidime,Susceptible,,,Broth dilution
GCF_900774995.1,573.26164,ampicillin/sulbactam,Susceptible,,,Broth dilution
GCF_900775285.1,573.26194,cefepime,Susceptible,,,Broth dilution
GCF_900774115.1,573.26077,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774995.1,573.26164,cefepime,Susceptible,,,Broth dilution
GCF_900774115.1,573.26077,tigecycline,Susceptible,,,Broth dilution
GCF_900774985.1,573.26163,trimethoprim/sulfobactam,Susceptible,,,Broth dilution
GCF_900774655.1,573.26130,trimethoprim/sulfobactam,Susceptible,,,Broth dilution
GCF_900774655.1,573.26130,aztreonam,Susceptible,,,Broth dilution
GCF_900775425.1,573.26208,ertapenem,Susceptible,,,Broth dilution
GCF_900775375.1,573.26203,trimethoprim/sulfobactam,Susceptible,,,Broth dilution
GCF_900774375.1,573.26102,ceftazidime,Intermediate,,,Broth dilution
GCF_900775105.1,573.26175,tigecycline,Susceptible,,,Broth dilution
GCF_900774625.1,573.26127,ceftazidime,Susceptible,,,Broth dilution
GCF_900774095.1,573.26075,amikacin,Susceptible,,,Broth dilution
GCF_900774835.1,573.26148,meropenem,Susceptible,,,Broth dilution
GCF_900775555.1,573.26221,ertapenem,Susceptible,,,Broth dilution
GCF_900774095.1,573.26075,aztreonam,Susceptible,,,Broth dilution
GCF_900775295.1,573.26195,amikacin,Susceptible,,,Broth dilution
GCF_900774695.1,573.26134,cefazolin,Susceptible,,,Broth dilution
GCF_900775295.1,573.26195,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774115.1,573.26077,ceftazidime,Susceptible,,,Broth dilution
GCF_900775375.1,573.26203,ceftriaxone,Susceptible,,,Broth dilution
GCF_900774205.1,573.26085,amikacin,Intermediate,,,Broth dilution
GCF_900774625.1,573.26127,amikacin,Susceptible,,,Broth dilution
GCF_900774115.1,573.26077,trimethoprim/sulfobactam,Susceptible,,,Broth dilution
GCF_900774985.1,573.26163,ciprofloxacin,Susceptible,,,Broth dilution
GCF_900774895.1,573.26154,tigecycline,Susceptible,,,Broth dilution
GCF_900774205.1,573.26085,ceftazidime,Intermediate,,,Broth dilution
GCF_900775495.1,573.26215,cefazolin,Susceptible,,,Broth dilution
GCF_900774895.1,573.26154,ceftazidime,Susceptible,,,Broth dilution
GCF_900775515.1,573.26217,aztreonam,Susceptible,,,Broth dilution
GCF_900774565.1,573.26121,gentamicin,Susceptible,,,Broth dilution
GCF_900774735.1,573.26138,aztreonam,Susceptible,,,Broth dilution
GCF_900774475.1,573.26112,meropenem,Susceptible,,,Broth dilution
GCF_900774985.1,573.26163,amikacin,Susceptible,,,Broth dilution
GCF_900774695.1,573.26134,ciprofloxacin,Susceptible,,,Broth dilution
GCF_900774535.1,573.26118,amikacin,Susceptible,,,Broth dilution
GCF_900774415.1,573.26106,ampicillin/sulbactam,Susceptible,,,Broth dilution
GCF_900775385.1,573.26204,ertapenem,Susceptible,,,Broth dilution
GCF_900774475.1,573.26112,ertapenem,Susceptible,,,Broth dilution
GCF_900775295.1,573.26195,ertapenem,Susceptible,,,Broth dilution
GCF_900774475.1,573.26112,ceftazidime,Susceptible,,,Broth dilution
