Strain,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
99-C561-8614-2,1,Canada,SYS-BRAIN,23,Pig,1999,4,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
BE4B3-2A,1,Canada,NON-CLINICAL,23,Pig,2016,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
BE4B3-2B,33,Canada,NON-CLINICAL,NA,Pig,2016,8,8,0.5,128,64,no,no,no,yes,no,no,yes,yes,yes,yes,0.25,0.5,no,no,no,64,16,no,no,no,no,no,no,yes,no,no,no,no,16,no,no,no,yes,no,no,no,no,0.5,no,no,no,no,1,no,1,0.06,1,2,yes,yes,no,no,yes,yes
BE4B3-4A,8,Canada,NON-CLINICAL,16,Pig,2016,0.03,4,0.5,128,64,no,no,no,yes,no,no,no,no,yes,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,128,no,yes,no,yes,yes,no,no,no,32,yes,yes,no,no,2,no,0.12,0.12,2,2,yes,yes,yes,no,no,yes
BE4B3-4B,8,Canada,NON-CLINICAL,16,Pig,2016,0.03,4,0.5,128,64,no,no,no,yes,no,no,no,no,yes,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,128,no,yes,no,yes,yes,no,no,no,8,yes,yes,no,no,2,no,0.12,0.12,2,2,yes,yes,yes,no,no,yes
BH3D7-4E,34,Canada,NON-CLINICAL,NA,Pig,2016,8,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,8,0.25,yes,no,no,no,no,no,no,no,no,no,no,32,no,no,yes,no,yes,no,no,yes,8,yes,yes,no,no,2,no,0.06,0.12,2,2,yes,yes,yes,no,no,no
CF2D3-1A,33,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,no,no,no,no,yes,no,no,no,no,4,no,no,no,no,no,no,yes,no,32,yes,no,no,no,2,no,0.5,0.03,0.5,2,yes,yes,no,no,yes,yes
CF2D3-1B,33,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,no,no,no,no,yes,no,no,no,no,512,no,no,no,no,no,no,yes,no,32,yes,no,no,no,2,no,0.5,2,16,1,yes,yes,no,no,yes,yes
CF2D3-1C,12,Canada,NON-CLINICAL,28,Pig,2016,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,no,no,yes,no,no,32,yes,yes,no,no,2,no,0.12,1,8,1,yes,yes,yes,no,no,no
CF2D3-2C,12,Canada,NON-CLINICAL,28,Pig,2016,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,no,no,yes,no,no,32,yes,yes,no,no,2,no,0.06,1,8,1,yes,yes,yes,no,no,no
CF2D3-2D,11,Canada,NON-CLINICAL,30,Pig,2016,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,1,2,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.5,0.03,no,no,yes,no,no,no
CF2D3-2E,1,Canada,NON-CLINICAL,5,Pig,2016,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
CF2D3-4A,1,Canada,NON-CLINICAL,5,Pig,2016,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
CF2D3-4B,9,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,32,yes,yes,no,no,2,no,0.25,0.12,2,2,yes,yes,yes,no,no,yes
CF2D3-4C,9,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,8,yes,yes,no,no,2,no,0.06,0.12,2,1,yes,yes,yes,no,no,yes
CF2D3-4D,9,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,32,yes,no,no,yes,no,no,no,no,yes,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,32,yes,yes,no,no,2,no,0.06,0.03,0.25,0.5,yes,yes,yes,no,no,yes
CG3S3-2A,21,Canada,NON-CLINICAL,29,Pig,2016,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.12,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,yes,no,no,no,no,no,4,yes,yes,no,no,2,no,0.12,0.25,2,1,yes,no,yes,no,no,no
CG3S3-2B,21,Canada,NON-CLINICAL,29,Pig,2016,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,yes,no,no,no,no,no,32,yes,yes,no,no,1,no,0.03,0.03,0.25,0.25,yes,no,yes,no,no,no
D15-036307,25,Canada,UNKNOWN,1/2,Pig,NA,0.03,4,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.12,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
D15-036308,1,Canada,UNKNOWN,23,Pig,NA,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
D15-036753,1,Canada,UNKNOWN,3,Pig,NA,8,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
D15-036755,26,Canada,UNKNOWN,NA,Pig,NA,0.06,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
D15-037100,1,Canada,UNKNOWN,23,Pig,NA,8,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
D15-037104,26,Canada,UNKNOWN,1/2,Pig,NA,0.06,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
D15-049776,8,Canada,UNKNOWN,9,Pig,NA,0.06,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,16,4,no,no,no,no,no,no,no,no,no,yes,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.5,0.06,no,no,yes,no,no,no
D15-049887,26,Canada,UNKNOWN,1/2,Pig,NA,1.4999999999999999E-2,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.06,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
D15-055799,26,Canada,UNKNOWN,1/2,Pig,NA,0.03,4,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
D15-061569,9,Canada,UNKNOWN,31,Pig,NA,0.06,4,0.5,16,16,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,8,0.25,no,no,no,no,no,no,no,no,no,no,no,64,no,no,no,no,no,no,no,no,32,yes,yes,no,no,2,no,0.06,0.25,2,0.25,yes,yes,yes,no,no,no
D16-009258,21,Canada,UNKNOWN,NA,Pig,NA,16,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,yes,no,no,no,0.12,no,no,no,no,1,no,0.06,0.12,1,4,yes,yes,yes,no,no,yes
D16-010262,33,Canada,UNKNOWN,11,Pig,NA,1,1,0.12,8,64,no,no,no,no,no,no,yes,yes,no,yes,1,2,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,yes,32,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.25,0.06,0.5,0.5,yes,yes,no,no,yes,yes
D16-010263,26,Canada,UNKNOWN,1/2,Pig,NA,0.03,4,0.5,0.25,4,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.06,0.03,no,no,no,no,no,no
D16-010378,1,Canada,UNKNOWN,4,Pig,NA,4,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.06,0.5,0.06,no,no,no,no,no,no
D16-017871,8,Canada,UNKNOWN,NA,Pig,NA,0.06,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.5,2,no,no,no,16,4,no,no,no,no,no,no,no,no,no,yes,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.5,0.06,no,no,yes,no,no,no
DB1V3-4A,7,Canada,NON-CLINICAL,4,Pig,2016,32,128,256,128,0.12,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,yes,no,yes,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.25,0.06,no,no,no,no,no,no
EJ2T3-1A,5,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,0.12,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.25,0.06,no,no,no,no,no,no
EJ2T3-1B,5,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
EJ2T3-2A,5,Canada,NON-CLINICAL,7,Pig,2016,16,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.06,0.03,no,no,no,no,no,no
EJ2T3-2B,5,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
EJ2T3-2C,5,Canada,NON-CLINICAL,NA,Pig,2016,16,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
EJ2T3-2D,5,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
EJ2T3-2E,5,Canada,NON-CLINICAL,NA,Pig,2016,1.4999999999999999E-2,1,0.5,1,1,yes,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,1.4999999999999999E-2,no,no,no,no,1,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
EJ2T3-3B,10,Canada,NON-CLINICAL,15,Pig,2016,1.4999999999999999E-2,1,0.5,2,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,1.4999999999999999E-2,no,no,no,no,1,no,0.03,0.03,0.12,0.03,yes,no,no,no,no,no
MA4T3-1A,9,Canada,NON-CLINICAL,NA,Pig,2016,0.06,4,1,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,yes,no,no,no,no,no
MA4T3-1B,9,Canada,NON-CLINICAL,31,Pig,2016,0.06,8,1,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.06,yes,no,no,no,no,no
MA4T3-2B,5,Canada,NON-CLINICAL,8,Pig,2016,32,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.25,0.03,no,no,no,no,no,no
MA4T3-3A,26,Canada,NON-CLINICAL,1/2,Pig,2016,0.06,4,1,0.5,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.06,0.03,no,no,no,no,no,no
MA4T3-3B,25,Canada,NON-CLINICAL,1/2,Pig,2016,0.06,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
MA4T3-3C,9,Canada,NON-CLINICAL,31,Pig,2016,0.06,4,1,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,yes,no,no,no,no,no
MA4T3-4A,14,Canada,NON-CLINICAL,5,Pig,2016,4,128,64,128,8,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.12,2,16,1,yes,yes,yes,no,no,yes
MA4T3-4B,14,Canada,NON-CLINICAL,NA,Pig,2016,4,128,128,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.06,2,16,1,yes,yes,yes,no,no,yes
MA4T3-4C,1,Canada,NON-CLINICAL,4,Pig,2016,8,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
MA4T3-4D,14,Canada,NON-CLINICAL,NA,Pig,2016,4,128,64,128,8,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.12,2,16,1,yes,yes,yes,no,no,yes
ME1D3-3A,14,Canada,NON-CLINICAL,31,Pig,2016,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,yes,no,no,no,no,no
MG2C3-3D,20,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,64,yes,no,no,yes,no,no,yes,yes,yes,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,yes,no,no,no,no,no,no,512,no,no,no,yes,yes,no,no,no,32,yes,no,yes,no,4,no,0.03,0.06,0.5,0.12,yes,no,yes,no,no,no
MY1C3-1A,25,Canada,NON-CLINICAL,1/2,Pig,2016,0.06,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
MY1C3-2B,1,Canada,NON-CLINICAL,3,Pig,2016,4,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1.4999999999999999E-2,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
MY1C3-2C,1,Canada,NON-CLINICAL,3,Pig,2016,4,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
MY1C3-3A,34,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,64,yes,yes,no,yes,no,no,yes,yes,yes,yes,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,128,no,no,no,yes,no,no,no,no,32,yes,no,no,no,2,no,0.12,0.06,1,2,yes,no,yes,no,no,no
MY1C3-3B,1,Canada,NON-CLINICAL,3,Pig,2016,4,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
MY1C3-3C,1,Canada,NON-CLINICAL,4,Pig,2016,16,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.06,no,no,no,no,no,no
MZ1B3-4A,25,Canada,NON-CLINICAL,14,Pig,2016,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,1,1,no,no,no,64,32,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
MZ1B3-4B,26,Canada,NON-CLINICAL,14,Pig,2016,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
MZ1B3-4C,25,Canada,NON-CLINICAL,14,Pig,2016,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
MZ1B3-4D,25,Canada,NON-CLINICAL,14,Pig,2016,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,1,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
MZ1B3-4E,25,Canada,NON-CLINICAL,14,Pig,2016,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
NH1E3-10A,29,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
NH1E3-10B,29,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
NH1E3-9A,21,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,no,no,no,no,yes,no,no,no,no,8,no,no,no,no,yes,no,no,no,32,yes,no,no,no,2,no,0.12,0.12,1,1,yes,yes,yes,no,no,no
NH1E3-9C,21,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,8,no,no,no,no,no,no,yes,no,no,no,no,8,no,no,no,no,yes,no,no,no,32,yes,no,no,no,2,no,0.12,0.12,1,1,yes,yes,yes,no,no,no
NH1E3-9D,21,Canada,NON-CLINICAL,NA,Pig,2016,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,8,no,no,no,no,no,no,yes,no,no,no,no,8,no,no,no,no,yes,no,no,no,32,yes,no,no,no,2,no,0.06,0.06,0.5,1,yes,no,yes,no,no,no
P83-3336,8,Canada,SYS-BRAIN,16,Pig,1983,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.12,0.25,2,2,yes,yes,yes,no,no,no
LOLA-SS001,4,Lola_UK,SYS-BRAIN,2,Pig,2010,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,4,yes,no,no,no,4,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
LOLA-SS002,4,Lola_UK,SYS-OTHER,1,Pig,2010,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,0.5,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
LOLA-SS003,4,Lola_UK,SYS-OTHER,1,Pig,2010,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
LOLA-SS004,24,Lola_UK,RESP,3,Pig,2010,0.03,4,1,0.5,1,no,no,no,no,no,no,no,no,no,no,0.12,0.25,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
