Strain,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
TMW_SS052,28,RCUK_APHA,UNKNOWN,NA,Pig,2014,0.03,4,0.5,1,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,no,no,no,no,32,no,no,yes,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
TMW_SS053,26,RCUK_APHA,UNKNOWN,1/2,Pig,2014,0.06,4,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
TMW_SS054,10,RCUK_APHA,UNKNOWN,28,Pig,2014,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,yes,no,no,no,1,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
TMW_SS055,4,RCUK_APHA,UNKNOWN,2,Pig,2014,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
TMW_SS056,26,RCUK_APHA,UNKNOWN,2,Pig,2014,0.06,4,1,0.5,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.06,0.03,no,no,no,no,no,no
TMW_SS057,26,RCUK_APHA,UNKNOWN,2,Pig,2014,0.06,4,1,0.25,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,1.4999999999999999E-2,0.06,0.03,no,no,no,no,no,no
TMW_SS058,4,RCUK_APHA,UNKNOWN,2,Pig,NA,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,0.5,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
TMW_SS059,4,RCUK_APHA,SYS-BRAIN,1,Pig,2014,0.03,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
TMW_SS060,4,RCUK_APHA,SYS-BRAIN,2,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,8.0000000000000002E-3,0.06,0.03,no,no,no,no,no,no
TMW_SS061,4,RCUK_APHA,SYS-OTHER,2,Pig,2014,1.4999999999999999E-2,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
TMW_SS062,4,RCUK_APHA,UNKNOWN,2,Pig,2014,1.4999999999999999E-2,4,0.5,4,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,0.5,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
TMW_SS063,5,RCUK_APHA,UNKNOWN,8,Pig,2014,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,no,yes,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
TMW_SS064,5,RCUK_APHA,UNKNOWN,8,Pig,2014,0.03,4,1,32,64,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,yes,no,yes,no,no,no,no,2,yes,no,no,yes,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
TMW_SS065,5,RCUK_APHA,UNKNOWN,5,Pig,2014,0.03,4,1,1,2,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,yes,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
TMW_SS066,2,RCUK_APHA,UNKNOWN,NA,Pig,2014,0.03,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,yes,0.12,0.25,yes,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.06,0.5,0.25,yes,no,yes,no,no,no
TMW_SS069,4,RCUK_APHA,UNKNOWN,2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
