genome_id,antibiotic,measurement_sign,measurement,measurement_unit,laboratory_typing_method,testing_standard,pmid
g1307.7509,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7509,tetracycline,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7509,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7509,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7509,trimethoprim,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7509,tylosin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7510,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7510,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7510,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7510,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7510,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,tiamulin,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7510,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7510,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7511,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7511,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7511,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7511,erythromycin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7511,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,lincomycin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7511,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7511,spectinomycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7511,trimethoprim,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7511,tylosin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7512,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7512,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7512,ceftiofur,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7512,doxycycline,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7512,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7512,erythromycin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7512,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7512,lincomycin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7512,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7512,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7512,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7512,tetracycline,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7512,tiamulin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7512,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7512,trimethoprim,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7512,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7513,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7513,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7513,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7513,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7513,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
