genome_id,antibiotic,call
PDT000003853.4,cefoxitin,susceptible
PDT000003853.4,ceftiofur,susceptible
PDT000003853.4,ceftriaxone,susceptible
PDT000003853.4,chloramphenicol,susceptible
PDT000003853.4,ciprofloxacin,susceptible
PDT000003853.4,gentamicin,susceptible
PDT000003853.4,kanamycin,non-susceptible
PDT000003853.4,nalidixic acid,susceptible
PDT000003853.4,streptomycin,non-susceptible
PDT000003853.4,sulfamethoxazole,susceptible
PDT000003853.4,tetracycline,non-susceptible
PDT000003853.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003873.4,amikacin,susceptible
PDT000003873.4,amoxicillin-clavulanic acid,susceptible
PDT000003873.4,ampicillin,susceptible
PDT000003873.4,cefoxitin,susceptible
PDT000003873.4,ceftiofur,susceptible
PDT000003873.4,ceftriaxone,susceptible
PDT000003873.4,chloramphenicol,susceptible
PDT000003873.4,ciprofloxacin,susceptible
PDT000003873.4,gentamicin,susceptible
PDT000003873.4,kanamycin,susceptible
PDT000003873.4,nalidixic acid,susceptible
PDT000003873.4,streptomycin,susceptible
PDT000003873.4,sulfamethoxazole,susceptible
PDT000003873.4,tetracycline,susceptible
PDT000003873.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003874.4,amikacin,susceptible
PDT000003874.4,amoxicillin-clavulanic acid,susceptible
PDT000003874.4,ampicillin,susceptible
PDT000003874.4,cefoxitin,susceptible
PDT000003874.4,ceftiofur,susceptible
PDT000003874.4,ceftriaxone,susceptible
PDT000003874.4,chloramphenicol,susceptible
PDT000003874.4,ciprofloxacin,susceptible
PDT000003874.4,gentamicin,susceptible
PDT000003874.4,kanamycin,susceptible
PDT000003874.4,nalidixic acid,susceptible
PDT000003874.4,streptomycin,susceptible
PDT000003874.4,sulfamethoxazole,susceptible
PDT000003874.4,tetracycline,non-susceptible
PDT000003874.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003875.4,amikacin,susceptible
PDT000003875.4,amoxicillin-clavulanic acid,susceptible
PDT000003875.4,ampicillin,susceptible
PDT000003875.4,cefoxitin,susceptible
PDT000003875.4,ceftiofur,susceptible
PDT000003875.4,ceftriaxone,susceptible
PDT000003875.4,chloramphenicol,susceptible
PDT000003875.4,ciprofloxacin,susceptible
PDT000003875.4,gentamicin,susceptible
PDT000003875.4,kanamycin,susceptible
PDT000003875.4,nalidixic acid,susceptible
PDT000003875.4,streptomycin,susceptible
PDT000003875.4,sulfamethoxazole,susceptible
PDT000003875.4,tetracycline,susceptible
PDT000003875.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003876.4,amikacin,susceptible
PDT000003876.4,amoxicillin-clavulanic acid,susceptible
PDT000003876.4,ampicillin,susceptible
PDT000003876.4,cefoxitin,susceptible
PDT000003876.4,ceftiofur,susceptible
PDT000003876.4,ceftriaxone,susceptible
PDT000003876.4,chloramphenicol,susceptible
PDT000003876.4,ciprofloxacin,susceptible
PDT000003876.4,gentamicin,susceptible
PDT000003876.4,kanamycin,susceptible
PDT000003876.4,nalidixic acid,susceptible
PDT000003876.4,streptomycin,susceptible
PDT000003876.4,sulfamethoxazole,susceptible
PDT000003876.4,tetracycline,susceptible
PDT000003876.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003877.4,amikacin,susceptible
PDT000003877.4,amoxicillin-clavulanic acid,susceptible
PDT000003877.4,ampicillin,susceptible
PDT000003877.4,cefoxitin,susceptible
PDT000003877.4,ceftiofur,susceptible
PDT000003877.4,ceftriaxone,susceptible
PDT000003877.4,chloramphenicol,susceptible
PDT000003877.4,ciprofloxacin,susceptible
PDT000003877.4,gentamicin,susceptible
PDT000003877.4,kanamycin,susceptible
PDT000003877.4,nalidixic acid,susceptible
PDT000003877.4,streptomycin,susceptible
PDT000003877.4,sulfamethoxazole,susceptible
PDT000003877.4,tetracycline,susceptible
PDT000003877.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003879.4,amikacin,susceptible
PDT000003879.4,amoxicillin-clavulanic acid,susceptible
PDT000003879.4,ampicillin,susceptible
PDT000003879.4,cefoxitin,susceptible
PDT000003879.4,ceftiofur,susceptible
PDT000003879.4,ceftriaxone,susceptible
PDT000003879.4,chloramphenicol,susceptible
PDT000003879.4,ciprofloxacin,susceptible
PDT000003879.4,gentamicin,susceptible
PDT000003879.4,kanamycin,susceptible
PDT000003879.4,nalidixic acid,susceptible
PDT000003879.4,streptomycin,susceptible
PDT000003879.4,sulfamethoxazole,susceptible
PDT000003879.4,tetracycline,susceptible
PDT000003879.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003962.3,amikacin,susceptible
PDT000003962.3,amoxicillin-clavulanic acid,susceptible
PDT000003962.3,ampicillin,susceptible
PDT000003962.3,cefoxitin,susceptible
PDT000003962.3,ceftiofur,susceptible
PDT000003962.3,ceftriaxone,susceptible
PDT000003962.3,chloramphenicol,susceptible
PDT000003962.3,ciprofloxacin,susceptible
PDT000003962.3,gentamicin,susceptible
PDT000003962.3,kanamycin,susceptible
PDT000003962.3,nalidixic acid,susceptible
PDT000003962.3,streptomycin,susceptible
PDT000003962.3,sulfamethoxazole,susceptible
PDT000003962.3,tetracycline,non-susceptible
PDT000003962.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003963.4,amikacin,susceptible
PDT000003963.4,amoxicillin-clavulanic acid,susceptible
PDT000003963.4,ampicillin,susceptible
PDT000003963.4,cefoxitin,susceptible
PDT000003963.4,ceftiofur,susceptible
PDT000003963.4,ceftriaxone,susceptible
PDT000003963.4,chloramphenicol,susceptible
PDT000003963.4,ciprofloxacin,susceptible
PDT000003963.4,gentamicin,susceptible
PDT000003963.4,kanamycin,susceptible
PDT000003963.4,nalidixic acid,susceptible
PDT000003963.4,streptomycin,susceptible
PDT000003963.4,sulfamethoxazole,susceptible
PDT000003963.4,tetracycline,susceptible
PDT000003963.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003965.3,amikacin,susceptible
PDT000003965.3,amoxicillin-clavulanic acid,non-susceptible
PDT000003965.3,ampicillin,non-susceptible
PDT000003965.3,cefoxitin,susceptible
